Date,Clicks,Impressions,CTR,Position
2026-03-02,3,42,7.14%,5.6
2026-03-03,0,44,0%,7.4
2026-03-04,1,24,4.17%,4.8
2026-03-05,2,19,10.53%,3.8
2026-03-06,0,30,0%,7.4
2026-03-07,1,23,4.35%,9.7
2026-03-08,9,64,14.06%,4.1
2026-03-09,4,28,14.29%,6.8
2026-03-10,0,14,0%,11.3
2026-03-11,1,18,5.56%,7.3
2026-03-12,2,23,8.7%,4
2026-03-13,3,21,14.29%,4.8
2026-03-14,0,20,0%,6.1
2026-03-15,0,7,0%,4.9
2026-03-16,1,50,2%,7.4
2026-03-17,7,33,21.21%,3.7
2026-03-18,2,39,5.13%,4.8
2026-03-19,5,22,22.73%,5.7
2026-03-20,1,21,4.76%,6.2
2026-03-21,0,14,0%,7.6
2026-03-22,0,10,0%,5.1
2026-03-23,1,16,6.25%,11.6
2026-03-24,1,18,5.56%,4.8
2026-03-25,3,22,13.64%,4.1
2026-03-26,1,16,6.25%,5.1
2026-03-27,4,32,12.5%,4
2026-03-28,1,72,1.39%,5
2026-03-29,1,19,5.26%,4.7
2026-03-30,2,26,7.69%,6.7
2026-03-31,1,17,5.88%,4.5
2026-04-01,1,23,4.35%,5
2026-04-02,1,15,6.67%,5.3
2026-04-03,0,35,0%,5.7
2026-04-04,0,26,0%,5.1
2026-04-05,0,17,0%,5.9
2026-04-06,2,51,3.92%,5.9
2026-04-07,4,45,8.89%,6.1
2026-04-08,2,23,8.7%,5
2026-04-09,8,41,19.51%,4
2026-04-10,5,24,20.83%,3.3
2026-04-11,4,50,8%,6.9
2026-04-12,10,29,34.48%,4.8
2026-04-13,4,54,7.41%,4.6
2026-04-14,3,22,13.64%,3.4
2026-04-15,3,24,12.5%,5.5
2026-04-16,2,16,12.5%,3.9
2026-04-17,8,30,26.67%,2.5
2026-04-18,3,7,42.86%,2.6
2026-04-19,3,25,12%,6.8
2026-04-20,3,15,20%,2.5
2026-04-21,2,9,22.22%,1.4
2026-04-22,5,8,62.5%,1.1
2026-04-23,3,13,23.08%,2
2026-04-24,5,16,31.25%,2
2026-04-25,7,21,33.33%,4.5
2026-04-26,3,18,16.67%,1.9
2026-04-27,5,16,31.25%,2.5
2026-04-28,1,31,3.23%,3.5
2026-04-29,5,17,29.41%,7.6
2026-04-30,4,23,17.39%,4.4
2026-05-01,8,15,53.33%,5.6
2026-05-02,11,35,31.43%,2.9
2026-05-03,4,15,26.67%,3.9
2026-05-04,4,21,19.05%,2.1
2026-05-05,4,22,18.18%,3.6
2026-05-06,6,20,30%,4.2
2026-05-07,6,44,13.64%,3
2026-05-08,4,16,25%,2
2026-05-09,3,19,15.79%,6.8
2026-05-10,4,26,15.38%,1.7
2026-05-11,5,20,25%,3.1
2026-05-12,4,16,25%,10.1
2026-05-13,4,30,13.33%,4.9
2026-05-14,12,41,29.27%,4.8
2026-05-15,9,38,23.68%,5.6
2026-05-16,7,24,29.17%,8.1
2026-05-17,58,178,32.58%,3.6
2026-05-18,11,63,17.46%,8
2026-05-19,3,46,6.52%,9.6
2026-05-20,2,30,6.67%,5.6
2026-05-21,2,20,10%,12.3
2026-05-22,3,28,10.71%,5
2026-05-23,5,46,10.87%,15.4
2026-05-24,5,32,15.62%,12
2026-05-25,8,37,21.62%,6.7
2026-05-26,3,38,7.89%,8.3
2026-05-27,18,62,29.03%,5.4
2026-05-28,5,28,17.86%,4.4
2026-05-29,1,73,1.37%,6.8
2026-05-30,6,91,6.59%,6.3
2026-05-31,2,56,3.57%,7.2
2026-06-01,4,52,7.69%,10.3
