Country,Clicks,Impressions,CTR,Position
United States,90,1253,7.18%,6.75
Germany,36,122,29.51%,3.44
United Kingdom,26,116,22.41%,5.89
India,25,106,23.58%,2.98
Canada,18,124,14.52%,4.35
Japan,13,85,15.29%,3.91
South Korea,13,38,34.21%,7.76
Netherlands,9,42,21.43%,3.38
Brazil,8,56,14.29%,4.29
Spain,8,40,20%,4.22
Hong Kong,7,27,25.93%,2.63
New Zealand,7,12,58.33%,1.42
Australia,6,75,8%,5.09
Singapore,6,30,20%,4.1
Turkey,6,17,35.29%,3.18
Finland,6,16,37.5%,1.19
Kuwait,6,11,54.55%,4.55
Vietnam,5,56,8.93%,7.34
France,5,41,12.2%,2.46
Poland,5,18,27.78%,3.22
Indonesia,5,18,27.78%,3.94
Norway,5,16,31.25%,5
Taiwan,4,21,19.05%,4.52
Portugal,4,16,25%,2.81
Israel,4,16,25%,3.06
Denmark,4,15,26.67%,3.4
Thailand,4,14,28.57%,3.86
Austria,4,9,44.44%,2.11
Italy,3,42,7.14%,5.4
Argentina,3,16,18.75%,8.38
Colombia,3,13,23.08%,7.23
Luxembourg,3,9,33.33%,3
Egypt,3,8,37.5%,5.5
Philippines,2,17,11.76%,3.59
Ukraine,2,16,12.5%,3.62
China,2,15,13.33%,7.4
Belgium,2,12,16.67%,3.42
Pakistan,2,12,16.67%,10.83
Peru,2,11,18.18%,1.55
Sweden,2,10,20%,3.4
Greece,2,7,28.57%,2.29
South Africa,2,6,33.33%,1.33
Guatemala,2,4,50%,6.5
Slovenia,2,3,66.67%,2.67
Mexico,1,21,4.76%,18.52
Russia,1,20,5%,11.85
Switzerland,1,13,7.69%,2.69
Malaysia,1,11,9.09%,5.36
Ecuador,1,10,10%,3.6
Nepal,1,7,14.29%,2.29
United Arab Emirates,1,7,14.29%,5.14
Iran,1,5,20%,1.4
Bulgaria,1,5,20%,2.8
Romania,1,5,20%,3.6
Georgia,1,5,20%,7.6
Chile,1,5,20%,10.2
Hungary,1,4,25%,3.5
Czechia,1,4,25%,5.5
Bolivia,1,1,100%,1
Panama,1,1,100%,1
Sint Maarten,1,1,100%,1
Trinidad & Tobago,1,1,100%,1
Saudi Arabia,0,13,0%,4.46
Morocco,0,7,0%,17
Bosnia & Herzegovina,0,5,0%,4.6
Bangladesh,0,5,0%,15.6
Serbia,0,4,0%,8.75
Armenia,0,3,0%,2
Uruguay,0,3,0%,5.67
Venezuela,0,3,0%,9
Tunisia,0,3,0%,19
Jordan,0,3,0%,29
Costa Rica,0,2,0%,1
Zimbabwe,0,2,0%,1
Latvia,0,2,0%,2
Qatar,0,2,0%,2.5
Iceland,0,2,0%,4.5
Dominican Republic,0,2,0%,6.5
Nigeria,0,2,0%,6.5
Iraq,0,2,0%,10
Azerbaijan,0,1,0%,1
Lebanon,0,1,0%,1
Mauritius,0,1,0%,1
Puerto Rico,0,1,0%,1
Albania,0,1,0%,2
Honduras,0,1,0%,2
Congo - Kinshasa,0,1,0%,3
Sri Lanka,0,1,0%,3
Malta,0,1,0%,3
Uzbekistan,0,1,0%,3
Curaçao,0,1,0%,4
Ireland,0,1,0%,4
Jamaica,0,1,0%,4
Zambia,0,1,0%,5
Unknown Region,0,1,0%,5
Oman,0,1,0%,7
Algeria,0,1,0%,8
Paraguay,0,1,0%,8
Somalia,0,1,0%,8
Fiji,0,1,0%,9
Tanzania,0,1,0%,9
Cuba,0,1,0%,10
Cambodia,0,1,0%,10
Estonia,0,1,0%,11
Kenya,0,1,0%,11
Sudan,0,1,0%,11
Kazakhstan,0,1,0%,16
Croatia,0,1,0%,26
