Top queries,Clicks,Impressions,CTR,Position
awesome copy,163,506,32.21%,2.18
awesomecopy,69,235,29.36%,2.06
awesome copy mac,41,95,43.16%,1.68
awesome copi,0,11,0%,2.91
mac crash report,0,5,0%,48.8
copy paste clipboard manager with encryption and access control,0,4,0%,10
awesome copy and paste,0,4,0%,23.75
icloud sync problems,0,4,0%,52.75
nspasteboard,0,3,0%,12.33
awesome report,0,3,0%,59.33
crash report,0,3,0%,83.33
crash reports mac,0,2,0%,54.5
osx crash report,0,2,0%,63.5
my icloud is not syncing,0,2,0%,65
icloud will not sync,0,1,0%,50
icloud syncing issues,0,1,0%,57
troubleshooting icloud,0,1,0%,71
